report_id,well_id,report_date,report_time,measured_depth_ft,tvd_ft,hole_size_in,rop_ft_hr,wob_klbs,rpm,torque_ft_lbs,spp_psi,mud_weight_ppg,flow_rate_gpm,pit_volume_bbl,gas_units,activity_code,activity_description,formation,npt_hours,npt_category,remarks,pv_cp,yp_lb_100sqft,gel_10s,gel_10min,fluid_loss_cc_30min,mud_chlorides_ppm,ph,mbt,solids_pct,inclination_deg,azimuth_deg,dogleg_severity_deg_100ft,slide_footage_ft,rotate_footage_ft,motor_yield_deg,toolface,bha_number,bit_type,bit_manufacturer,bit_model,nozzle_sizes,motor_od_in,motor_bend_deg,mwd_type,annular_pressure_loss_psi,apl_source
DDR-011,PERM-2847,2025-02-16,02:00,8590,8195,12.25,50,28,120,13500,3280,10.6,855,1262,20,DRILL,Drilling ahead,Wolfcamp B,0,,"Drlg ahead 8590' in Wolf B. Hard streak ~8576', backed off WOB to 25k. ROP dropped to 35fph for ~34ft then picked back up.",14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,352.2,calculated
DDR-012,PERM-2847,2025-02-16,04:00,8630,8230,12.25,47,29,118,14200,3350,10.6,860,1260,22,DRILL,Drilling ahead,Wolfcamp B,0,,Drilling 8581-8630 WC B. Steady params - 29k WOB 118rpm. Gas bgd 22 units. MW 10.6. No connection gas.,14,18,6,12,4.2,45000,10.5,22,12.5,88.5,275,2.1,0,80,1.15,GTF,3,PDC,NOV,TK56,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,354.2,calculated
DDR-013,PERM-3201,2025-02-15,06:00,12100,11200,8.75,35,22,140,9800,4200,12.8,650,980,45,DRILL,Drilling ahead,Wolfcamp,0,,Drlg Wolf. Made 91ft this tour. Avg ROP 35fph. Bit looks good per MWD. SPP 4200.,22,24,8,16,3.8,62000,10.2,28,14.8,85.2,190,3.5,30,50,1.50,MTF,4,PDC,Baker Hughes,Kymera XTreme,11-11-11-12-12,6.75,1.50,Halliburton iCruise,535.4,calculated
DDR-014,PERM-3201,2025-02-15,10:00,12180,11270,8.75,32,24,135,10500,4350,12.8,660,978,52,DRILL,Drilling ahead,Wolfcamp,0,,Cont drlg in WC @ 12180'. 32fph. Slight torque increase last 2 stands - up to 10k. Working pipe freely on connections.,22,24,8,16,3.8,62000,10.2,28,14.8,85.2,190,3.5,30,50,1.50,MTF,4,PDC,Baker Hughes,Kymera XTreme,11-11-11-12-12,6.75,1.50,Halliburton iCruise,540.4,calculated
DDR-015,PERM-3201,2025-02-15,14:00,12180,11270,8.75,0,0,0,0,0,12.8,0,975,85,NPT,Flow check - gas cut mud,Wolfcamp,2,wellbore,"Flow check - gas cut mud. Shut in, monitored. MW 12.8ppg. No flow after 29min. Weighted up 0.2ppg.",20,22,8,16,4.5,62000,10.2,28,14.8,0,0,0,0,0,0,,4,PDC,Baker Hughes,Kymera XTreme,11-11-11-12-12,6.75,1.50,Halliburton iCruise,0.0,N/A
DDR-016,PERM-3201,2025-02-15,18:00,12220,11305,8.75,28,20,130,11200,4500,13.0,670,985,40,DRILL,Drilling ahead - weighted up,Wolfcamp,0,,Drlg ahead 12125-12220' WC. Good drlg. 28fph avg. MW 13.0ppg. Circ clean on connections. No fill on btm.,22,24,8,16,3.8,62000,10.2,28,14.8,85.2,190,3.5,40,40,1.50,MTF,4,PDC,Baker Hughes,Kymera XTreme,11-11-11-12-12,6.75,1.50,Halliburton iCruise,545.4,calculated
DDR-017,PERM-3201,2025-02-15,22:00,12280,11360,8.75,30,21,132,10800,4400,13.0,665,988,38,DRILL,Drilling ahead,Wolfcamp,0,,"Making hole in Wolf. 12280' MD. ROP 30fph, WOB 21k, RPM 132. Tight hole noted ~12251' - reamed thru ok.",22,24,8,16,3.8,62000,10.2,28,14.8,85.2,190,3.5,30,50,1.50,MTF,4,PDC,Baker Hughes,Kymera XTreme,11-11-11-12-12,6.75,1.50,Halliburton iCruise,542.9,calculated
DDR-018,EF-1105,2025-02-15,06:00,9600,8720,12.25,72,25,135,11000,2800,9.7,820,1180,10,DRILL,Drilling ahead,Eagle Ford Shale,0,,Drlg EF Shale lateral. 72fph. Inc 90.0 az 45.0. DLS ok. Slide ratio 0/100. TF GTF.,11,14,5,10,5.0,32000,10.8,18,10.2,90.0,045,1.8,0,100,1.00,GTF,2,PDC,Schlumberger,Smith Stinger,12-12-13-13-13,9.625,1.00,Schlumberger TeleScope,322.8,calculated
DDR-019,EF-1105,2025-02-15,12:00,9750,8840,12.25,68,26,130,11500,2900,9.7,825,1178,12,DRILL,Drilling ahead,Eagle Ford Shale,0,,Drilling 9667 to 9750ft Eagle Ford. Gas show 12 units @ 9733'. Trip gas only - no connection gas. Cont drlg.,11,14,5,10,5.0,32000,10.8,18,10.2,90.0,045,1.8,0,100,1.00,GTF,2,PDC,Schlumberger,Smith Stinger,12-12-13-13-13,9.625,1.00,Schlumberger TeleScope,324.8,calculated
DDR-020,EF-1105,2025-02-15,18:00,9900,8980,12.25,65,27,128,12000,2950,9.9,830,1175,14,DRILL,Drilling ahead,Austin Chalk,0,,Drlg ahead Austin Chk @ 9900'. 65fph. Torque 12k steady. Good cuttings returns - grey shale w/ some calc stringers.,11,14,5,10,5.0,32000,10.8,18,10.2,90.0,045,1.8,0,100,1.00,GTF,2,PDC,Schlumberger,Smith Stinger,12-12-13-13-13,9.625,1.00,Schlumberger TeleScope,326.8,calculated
DDR-021,BAK-0892,2025-02-15,06:00,10500,9800,8.5,25,18,90,8500,3800,11.5,580,850,30,DRILL,Drilling ahead,Three Forks,0,,Cont drlg 10434-10500 in Three Forks. 25fph. Pumps running 3800 psi. Flow rate good. No losses.,18,20,7,14,4.5,55000,10.3,25,13.0,91.5,310,1.2,0,60,1.25,GTF,3,PDC,NOV,ReedHycalog,10-10-11-11-11,6.75,1.25,NOV Tolteq,479.6,calculated
DDR-022,BAK-0892,2025-02-15,12:00,10500,9800,8.5,0,0,0,0,0,11.5,0,850,15,TRIP,Tripping out - bit change,Three Forks,4,equipment,POOH - bit worn. Pulled to surface. Bit #3 graded 3-5-BT-G. Cones ok. 5hrs trip time.,18,20,7,14,4.5,55000,10.3,25,13.0,0,0,0,0,0,0,,2,PDC,NOV,ReedHycalog (POOH worn),10-10-11-11-11,6.75,1.25,NOV Tolteq,0.0,N/A
DDR-023,BAK-0892,2025-02-15,18:00,10500,9800,8.5,0,0,0,0,0,11.5,0,852,12,TRIP,Tripping in with new bit,Three Forks,0,,"RIH new 8.5"" PDC bit. Tripped to 10500' in 3hrs. No tight spots. On btm, circ btms up.",18,20,7,14,4.5,55000,10.3,25,13.0,0,0,0,0,0,0,,3,PDC,NOV,ReedHycalog,10-10-11-11-11,6.75,1.25,NOV Tolteq,0.0,N/A
DDR-024,BAK-0892,2025-02-15,22:00,10560,9800,8.5,30,20,95,9200,3900,11.5,590,855,28,DRILL,Drilling ahead - new bit,Three Forks,0,,Drlg 3 Forks. 10560' MD 9800' TVD. 30fph. WOB 20k. Bit hrs 60. Running good.,18,20,7,14,4.5,55000,10.3,25,13.0,91.5,310,1.2,0,60,1.25,GTF,3,PDC,NOV,ReedHycalog,10-10-11-11-11,6.75,1.25,NOV Tolteq,484.6,calculated
DDR-025,PERM-4102,2025-02-16,06:00,7754,7366,12.25,35,24,130,13481,3101,10.1,879,1154,13,DRILL,Drilling ahead - slight torque increase,Wolfcamp A,0,,Drilling ahead in Wolf A. Made 88' this rpt. 35fph avg. MW 10.1 ppg. Torque 13k ft-lbs. SPP 3101.,14,18,6,12,4.2,46000,10.5,22,12.5,87.2,283,3.0,8,72,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,392.7,calculated
DDR-026,PERM-4102,2025-02-16,10:00,7828,7432,12.25,37,21,128,14841,3150,10.5,845,1172,26,DRILL,Drilling ahead - steady,Wolfcamp A,0,,Drlg Wolf A 7828'. ROP 37fph. Cuttings look good - Wolf A characteristic. Gas bgd 26u. No issues to report.,14,18,6,12,4.2,46000,10.5,22,12.5,88.3,283,1.9,27,53,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,371.8,calculated
DDR-027,PERM-4102,2025-02-16,14:00,7932,7526,12.25,52,32,127,13003,3071,10.6,861,1170,20,DRILL,Drilling ahead - good progress,Wolfcamp A,0,,Cont drlg Wolf A. 7875-7932'. Rotary drlg 52fph. WOB 32k RPM 127. Hole in gauge per caliper.,14,18,6,12,4.2,46000,10.5,22,12.5,88.2,277,1.9,19,61,9.625,MTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,357.4,calculated
DDR-028,PERM-4102,2025-02-16,18:00,8032,7616,12.25,50,27,115,13105,3282,10.2,851,1273,15,DRILL,Drilling ahead - good progress,Wolfcamp A,0,,Drlg ahead Wolf A. Depth 8032'. Avg 50fph. Slight drag on connections ~20k over string wt. Working thru.,14,18,6,12,4.2,46000,10.5,22,12.5,89.1,281,2.0,17,63,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,338.4,calculated
DDR-029,PERM-4102,2025-02-17,06:00,8032,7616,12.25,0,0,0,0,0,10.5,0,1181,16,NPT,Waiting on weather - high winds,Wolfcamp A,5,weather,WOW high winds. Gusts to 60mph. Shut down crane & pipe handling. 5.0hrs down.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-030,PERM-4102,2025-02-17,10:00,8032,7616,12.25,0,0,0,0,0,10.2,0,1224,-1,CIRC,Circulating - conditioning mud,Wolfcamp A,0,,"Circulating btms up. Cleaning hole prior to trip. Returns clean, no cavings. MW 10.2ppg.",14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-031,PERM-4102,2025-02-17,14:00,8032,7616,12.25,0,0,0,0,0,10.7,0,1139,4,CASE,Running casing,Wolfcamp A,0,,Running 9 5/8 csg. 47# N-80 LTC. Landed @ 8032'. Circ & reciprocate. Cement crew standing by.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-032,PERM-4102,2025-02-17,18:00,8032,7616,12.25,0,0,0,0,0,10.2,0,1150,14,LOG,Logging - gamma ray,Wolfcamp A,0,,Wireline logging @ 8032'. GR/Resistivity/Neutron-Density. Good data. Log to TD. Rigging down.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-033,PERM-4102,2025-02-18,06:00,8142,7715,12.25,55,32,121,11188,3166,10.3,839,1247,3,DRILL,Drilling ahead - good progress,Wolfcamp A,0,,Making hole WCA @ 8142ft. 55fph. MW 10.3ppg. PV/YP 14/18. Solids 12.5%. Mud in spec.,14,18,6,12,4.2,46000,10.5,22,12.5,88.9,281,2.1,22,58,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,376.1,calculated
DDR-034,PERM-4102,2025-02-18,10:00,8258,7819,12.25,58,29,128,14642,3138,10.3,837,1098,20,DRILL,Drilling ahead - slight torque increase,Wolfcamp A,0,,"Drlg ahead 8183-8258 in WC A. Avg 58fph, WOB 29k, 128rpm. Torque running 14k ft-lbs. MW 10.3 ppg. No issues.",14,18,6,12,4.2,46000,10.5,22,12.5,87.6,280,1.7,0,80,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,302.5,calculated
DDR-035,PERM-4102,2025-02-18,14:00,8352,7904,12.25,47,28,113,10658,3204,10.1,812,1216,22,DRILL,Drilling ahead,Wolfcamp A,0,,"Drlg 8266-8352' WC A. ROP 47 fph avg. Bit running smooth. SPP 3204, torque steady ~10k.",14,18,6,12,4.2,46000,10.5,22,12.5,89.7,276,1.1,24,56,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,336.1,calculated
DDR-036,PERM-4102,2025-02-18,18:00,8474,8014,12.25,61,25,134,12349,3613,10.6,817,1203,17,DRILL,Drilling ahead - good progress,Wolfcamp A,0,,Drilling ahead thru Wolf A @ 8474'. Making 61fph w/ 25k WOB. Gas 17 units bgd. Inc 88.9 az 275.0.,14,18,6,12,4.2,46000,10.5,22,12.5,88.9,275,2.4,2,78,9.625,MTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,418.4,calculated
DDR-037,PERM-4102,2025-02-19,06:00,8474,8014,12.25,0,0,0,0,0,10.4,0,1291,13,TRIP,Tripping for survey/bit check,Wolfcamp A,0,,Running in hole w/ BHA #3. New NOV TK58 bit. To btm in 6hrs. Ready to drill.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-038,PERM-4102,2025-02-19,10:00,8600,8136,12.25,68,25,128,15326,3196,10.4,852,1148,2,DRILL,Drilling ahead - slight torque increase,Wolfcamp A,0,,"Cont drlg Wolf A. 68fph, 25k WOB, 3196 SPP. Hole cleaning good - returns clean. MW 10.4ppg.",14,18,6,12,4.2,46000,10.5,22,12.5,88.2,279,2.8,37,43,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,368.6,calculated
DDR-039,PERM-4102,2025-02-24,06:00,8662,8213,12.25,0,0,0,0,0,10.8,0,1260,4,CIRC,Circulating - conditioning mud,Wolfcamp B,0,,Circ to condition mud. Adjusted rheology - PV 14 YP 18 gels 6/12. MW 10.8. Good returns.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-040,PERM-4102,2025-02-24,10:00,8764,8284,12.25,51,30,114,12974,3484,11.0,843,1186,11,DRILL,Drilling ahead - ROP improving,Wolfcamp B,0,,"Drlg 8674 to 8764 in WC B. Good hole. 51fph rotating. Torque 12k, no drag noted.",14,18,6,12,4.2,46000,10.5,22,12.5,88.7,283,1.9,6,74,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,343.1,calculated
DDR-041,PERM-4102,2025-02-24,14:00,8856,8348,12.25,46,36,117,13942,3483,10.7,850,1257,13,DRILL,Drilling ahead - good progress,Wolfcamp B,0,,Drlg ahead in Wolf B @ 8856ft. ROP 46fph. Slide 34ft rotate 46ft this stand. TF GTF.,14,18,6,12,4.2,46000,10.5,22,12.5,87.8,281,2.1,34,46,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,355.0,calculated
DDR-042,PERM-4102,2025-02-24,18:00,8936,8404,12.25,40,31,114,14175,3229,10.6,862,1172,12,DRILL,Drilling ahead - good progress,Wolfcamp B,0,,"Making hole 8895-8936. WCB fm. 40fph, WOB 31k, RPM 114. PV 14 YP 18. Good progress.",14,18,6,12,4.2,46000,10.5,22,12.5,87.7,278,1.7,32,48,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,340.8,calculated
DDR-043,PERM-4102,2025-02-25,06:00,9032,8472,12.25,48,27,113,13360,3399,10.6,870,1160,-2,DRILL,Drilling ahead - slight torque increase,Wolfcamp B,0,,"Drlg Wolfcamp B 8985-9032'. Hit softer streak ~9010, ROP jumped to 59fph briefly. Avg 48fph for stand.",14,18,6,12,4.2,46000,10.5,22,12.5,88.6,281,1.4,7,73,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,338.6,calculated
DDR-044,PERM-4102,2025-02-25,10:00,9032,8472,12.25,0,0,0,0,0,10.7,0,1233,7,NPT,Pump repair - mud pump #2,Wolfcamp B,2,equipment,MWD failure @ 9032'. POOH to replace tool. 2.0hrs NPT. RIH w/ new MWD - surveys good.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-045,PERM-4102,2025-02-25,14:00,9134,8543,12.25,51,30,110,17977,3238,10.7,835,1134,22,DRILL,Drilling ahead - steady,Wolfcamp B,0,,Cont drilling Wolf B. Depth 9134'. 51fph. Torque trending up slightly - 17k ft-lbs. Monitoring. WOB 30k.,14,18,6,12,4.2,46000,10.5,22,12.5,88.6,280,2.1,14,66,9.625,MTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,383.4,calculated
DDR-046,PERM-4102,2025-02-25,18:00,9232,8612,12.25,49,33,97,15475,3458,10.3,841,1265,16,DRILL,Drilling ahead - slight torque increase,Wolfcamp B,0,,"Drlg ahead 9232' in WC B. Hard streak ~9222', backed off WOB to 30k. ROP dropped to 34fph for ~21ft then picked back up.",14,18,6,12,4.2,46000,10.5,22,12.5,88.3,277,1.8,31,49,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,408.1,calculated
DDR-047,PERM-4102,2025-02-26,06:00,9338,8686,12.25,53,29,118,16639,3451,10.7,870,1204,18,DRILL,Drilling ahead - steady,Wolfcamp B,0,,Drilling 9242-9338 WC B. Steady params - 29k WOB 118rpm. Gas bgd 18 units. MW 10.7. No connection gas.,14,18,6,12,4.2,46000,10.5,22,12.5,88.5,280,1.6,12,68,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,362.3,calculated
DDR-048,PERM-4102,2025-02-26,10:00,9446,8761,12.25,54,31,110,15304,3471,10.8,869,1248,17,DRILL,Drilling ahead - ROP improving,Wolfcamp B,0,,Drlg WCB. Made 99ft this tour. Avg ROP 54fph. Bit looks good per MWD. SPP 3471.,14,18,6,12,4.2,46000,10.5,22,12.5,88.8,281,2.3,32,48,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,318.7,calculated
DDR-049,PERM-4102,2025-02-26,14:00,9522,8815,12.25,38,32,125,12936,3373,10.9,857,1129,23,DRILL,Drilling ahead - steady,Wolfcamp B,0,,Cont drlg in WCB @ 9522'. 38fph. Slight torque increase last 2 stands - up to 12k. Working pipe freely on connections.,14,18,6,12,4.2,46000,10.5,22,12.5,88.6,284,2.6,1,79,9.625,MTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,319.3,calculated
DDR-050,PERM-4102,2025-02-26,18:00,9600,8885,12.25,50,26,109,13845,3403,10.6,850,1183,12,DRILL,Drilling ahead - steady,Wolfcamp B,0,,Drlg ahead 9515-9600' Wolf B. Good drlg. 50fph avg. MW 10.6ppg. Circ clean on connections. No fill on btm.,14,18,6,12,4.2,46000,10.5,22,12.5,88.9,277,1.3,13,67,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,401.8,calculated
DDR-051,PERM-4102,2025-02-27,06:00,9600,8900,12.25,56,29,91,14091,3297,10.4,839,1128,14,DRILL,Drilling ahead - good progress,Wolfcamp B,0,,"Making hole in Wolf B. 9600' MD. ROP 56fph, WOB 29k, RPM 91. Tight hole noted ~9560' - reamed thru ok.",14,18,6,12,4.2,46000,10.5,22,12.5,88.2,281,1.7,25,55,9.625,MTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,388.5,calculated
DDR-052,PERM-4102,2025-02-27,10:00,9600,8900,12.25,0,0,0,0,0,10.8,0,1158,9,NPT,BOP test,Wolfcamp B,5,equipment,"Top drive motor overheating. Shut down, flushed cooling system, replaced filter. 5.0hrs repair time.",14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-053,PERM-4102,2025-02-27,14:00,9600,8900,12.25,0,0,0,0,0,11.0,0,1176,9,NPT,Rig repair - top drive,Wolfcamp B,1,equipment,BOP pressure test per regs. Function tested all rams & annular. Good test to 3127psi. 1.0hrs.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-054,PERM-4102,2025-02-27,18:00,9600,8900,12.25,49,29,106,14083,3682,11.0,875,1259,4,DRILL,Drilling ahead - good progress,Wolfcamp B,0,,Drlg Wolf B lateral. 49fph. Inc 88.5 az 277.0. DLS ok. Slide ratio 37/43. TF GTF.,14,18,6,12,4.2,46000,10.5,22,12.5,88.5,277,2.0,37,43,9.625,GTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,341.3,calculated
DDR-055,PERM-4102,2025-02-28,06:00,9600,8900,12.25,0,0,0,0,0,10.7,0,1136,1,CASE,Running casing,Wolfcamp B,0,,RIH csg - 9-5/8 53.5# L-80. Running BTC connections. 125 jts to 9600'. Centralizers per program.,14,18,6,12,4.2,46000,10.5,22,12.5,0,0,0,0,0,9.625,,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,0.0,N/A
DDR-056,PERM-4102,2025-02-28,10:00,9600,8900,12.25,42,27,116,14618,3254,10.9,897,1175,27,DRILL,Drilling ahead - slight torque increase,Wolfcamp B,0,,Drilling 9551 to 9600ft Wolf B. Gas show 27 units @ 9585'. Trip gas only - no connection gas. Cont drlg.,14,18,6,12,4.2,46000,10.5,22,12.5,88.1,282,2.2,15,65,9.625,MTF,3,PDC,NOV,TK58,12-12-12-13-13,9.625,1.15,Schlumberger PowerDrive,335.9,calculated
